dataset;project;plot;year;fromdaynr;todaynr;meandaynr;E;N;elevation;biomass;biomass_adj;Canopy;Habitat;Tmean;Psum;Pmean;Tmean_anomaly_april_current;Psum_anomaly_april_current;Tmean_anomaly_april_prev;Psum_anomaly_april_prev;Tmean_anomaly_winter;Psum_anomaly_winter;Tmean_anomaly_meandaynr_prev;Psum_anomaly_meandaynr_prev;Warm_spell;Cold_spell;Wet_spell;Dry_spell;Warm_spell_april_current;Cold_spell_april_current;Wet_spell_april_current;Dry_spell_april_current;Warm_spell_april_prev;Cold_spell_april_prev;Wet_spell_april_prev;Dry_spell_april_prev;Warm_spell_winter;Cold_spell_winter;Wet_spell_winter;Dry_spell_winter;Warm_spell_meandaynr_prev;Cold_spell_meandaynr_prev;Wet_spell_meandaynr_prev;Dry_spell_meandaynr_prev;nHerbs;nTrees;Light;ellenTemperature;Arableland;Forest;Grassland;Water;fyear
training;Hallmann;SLL1;2011;186;208;197;6,602298;51,623313;14,8876543;80;80;0;;17,05491767;87,1000013;3,786956578;2,972422156;-17,31333359;-0,383911103;-26,91333373;-1,326163193;-2,029333364;2,002569848;15,6866669;0;2;2;2;3;0;0;4;0,920803661;1,668249391;0,233185334;4,810847597;2;3;3;9;2,505505686;0,946461254;2,10099253;3,651112638;41;0;7,38;5,26;0,490641308;0,208590119;0,132709252;0,013138039;2011
training;Hallmann;SLL1;2011;209;223;216;6,602298;51,623313;14,8876543;69,5;69,5;0;;17,9592075;20,4000003;1,36000002;2,972422156;-17,31333359;-0,383911103;-26,91333373;-1,326163193;-2,029333364;-1,475849429;85,46333461;0;2;0;3;3;0;0;4;0,920803661;1,668249391;0,233185334;4,810847597;2;3;3;9;0,351472111;2,482725512;2,976297057;2,518349154;41;0;7,38;5,26;0,490641308;0,208590119;0,132709252;0,013138039;2011
training;Hallmann;SLL1;2011;224;237;230,5;6,602298;51,623313;14,8876543;96,5;96,5;0;;18,83615986;64,10000096;4,578571497;2,972422156;-17,31333359;-0,383911103;-26,91333373;-1,326163193;-2,029333364;-1,475849429;85,46333461;0;0;2;2;3;0;0;4;0,920803661;1,668249391;0,233185334;4,810847597;2;3;3;9;0,351472111;2,482725512;2,976297057;2,518349154;41;0;7,38;5,26;0,490641308;0,208590119;0,132709252;0,013138039;2011
training;Hallmann;SLL1;2011;238;253;245,5;6,602298;51,623313;14,8876543;54;54;0;;16,6381242;56,20000084;3,512500052;2,972422156;-17,31333359;-0,383911103;-26,91333373;-1,326163193;-2,029333364;-1,480255522;0,25666667;1;1;1;2;3;0;0;4;0,920803661;1,668249391;0,233185334;4,810847597;2;3;3;9;0,374203429;2,967644737;1,196549988;3,280549844;41;0;7,38;5,26;0,490641308;0,208590119;0,132709252;0,013138039;2011
training;Hallmann;POM1;2015;80;99;89,5;7,239916;50,170619;135,5972748;2,4;2,4;0;;6,437910612;36,00000054;1,800000027;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;1,523741901;-41,98666729;0;1;1;3;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;2,97168775;0,420491846;0,128596147;5,889077082;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;100;120;110;7,239916;50,170619;135,5972748;24,3;24,3;0;;11,43476764;32,60000049;1,552380976;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;1,954377734;-29,23000044;1;1;1;3;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;2,441958068;0,374665834;0,209370803;4,587749748;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;121;139;130;7,239916;50,170619;135,5972748;32,5;32,5;0;;13,83191045;7,500000112;0,394736848;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;-0,827892455;-12,97000019;1;0;0;5;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;1,047447157;1,944502455;1,326640499;5,299673968;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;140;161;150,5;7,239916;50,170619;135,5972748;59,8;59,8;0;;14,73918315;25,70000038;1,168181836;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;-0,827892455;-12,97000019;0;2;0;6;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;1,047447157;1,944502455;1,326640499;5,299673968;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;162;182;172;7,239916;50,170619;135,5972748;96;96;0;;17,37905322;48,80000073;2,323809558;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;-0,348122214;-37,80000056;1;2;1;3;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;1,602942694;2,316243977;0,695734557;5,867003445;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;183;201;192;7,239916;50,170619;135,5972748;65,7;65,7;0;;22,02138395;22,90000034;1,205263176;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;0,416376335;63,45666761;2;0;0;4;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;1,220036294;0,924862457;3,47148223;3,075519999;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;202;223;212,5;7,239916;50,170619;135,5972748;40,1;40,1;0;;19,9178194;35,00000052;1,590909115;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;0,416376335;63,45666761;1;1;1;5;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;1,220036294;0,924862457;3,47148223;3,075519999;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
training;Hallmann;POM1;2015;224;251;237,5;7,239916;50,170619;135,5972748;38,4;38,4;0;;17,6647675;67,60000101;2,41428575;-0,454955545;0,070000001;1,954377734;-29,23000044;0,07664522;-1,876000028;-2,574042953;53,04666746;2;2;2;6;1;2;1;3;2,441958068;0,374665834;0,209370803;4,587749748;1;1;2;9;0,183129896;4,064674702;3,608971086;4,243262792;31;2;7,21;4,32;0,152767275;0,474500314;0;0,005643601;2015
